symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1101.TW,2021-10-21,43.96,44.32,43.96,44.32,42.56488,24991535,24991535,0.36,0.81893,44.2,"October 21, 21",0.0081893
1101.TW,2021-10-20,44.41,44.41,43.64,43.96,42.215633,31318270,31318270,-0.45,-1.01,44,"October 20, 21",-0.0101
1101.TW,2021-10-19,45.32,45.55,44.46,44.64,42.870476,27772958,27772958,-0.68,-1.5,44.88,"October 19, 21",-0.015
1101.TW,2021-10-18,45.55,45.64,45.28,45.28,43.481663,9755289,9755289,-0.27,-0.59276,45.4,"October 18, 21",-0.0059276
1101.TW,2021-10-15,45.46,45.64,45.28,45.55,43.743603,10700715,10700715,0.09,0.19798,45.49,"October 15, 21",0.0019798
1101.TW,2021-10-14,46,46,45.37,45.37,43.568977,10840407,10840407,-0.63,-1.37,45.58,"October 14, 21",-0.0137
1101.TW,2021-10-13,45.82,46.37,45.46,45.91,44.092854,14966666,14966666,0.09,0.19642,45.91,"October 13, 21",0.0019642
1101.TW,2021-10-12,45.46,45.73,45.09,45.64,43.830917,14630243,14630243,0.18,0.39595,45.49,"October 12, 21",0.0039595
1101.TW,2021-10-08,45.82,45.91,45.64,45.82,44.005539,5768942,5768942,0,0,45.79,"October 08, 21",0
1101.TW,2021-10-07,45.46,45.91,45.32,45.82,44.005539,10905463,10905463,0.36,0.7919,45.68,"October 07, 21",0.007919
1101.TW,2021-10-06,45.73,45.82,45.28,45.37,43.568977,12628124,12628124,-0.36,-0.78723,45.49,"October 06, 21",-0.0078723
1101.TW,2021-10-05,45.46,45.73,45.18,45.73,43.918228,11141277,11141277,0.27,0.59393,45.55,"October 05, 21",0.0059393
1101.TW,2021-10-04,45.73,46,45.37,45.46,43.656292,15043248,15043248,-0.27,-0.59042,45.61,"October 04, 21",-0.0059042
1101.TW,2021-10-01,46.18,46.37,45.37,45.64,43.830917,22409036,22409036,-0.54,-1.17,45.79,"October 01, 21",-0.0117
1101.TW,2021-09-30,45.82,46.64,45.73,46.37,44.529415,17193158,17193158,0.55,1.2,46.25,"September 30, 21",0.012
1101.TW,2021-09-29,45.82,46.37,45.73,46,44.180164,14373647,14373647,0.18,0.39284,46.03,"September 29, 21",0.0039284
1101.TW,2021-09-28,46,46.73,45.64,46.37,44.529415,15741102,15741102,0.37,0.80435,46.25,"September 28, 21",0.0080435
1101.TW,2021-09-27,46.55,46.64,46,46.46,44.61673,15322108,15322108,-0.09,-0.19334,46.37,"September 27, 21",-0.0019334
1101.TW,2021-09-24,46.73,47,46.55,46.64,44.791355,14877255,14877255,-0.09,-0.1926,46.73,"September 24, 21",-0.001926
1101.TW,2021-09-23,46.46,46.91,46.18,46.55,44.704041,15403894,15403894,0.09,0.19372,46.55,"September 23, 21",0.0019372
1101.TW,2021-09-22,45.28,46.09,45,46.09,44.267479,23916262,23916262,0.81,1.79,45.73,"September 22, 21",0.0179
1101.TW,2021-09-17,47,47,46.09,46.09,44.267479,20824329,20824329,-0.91,-1.94,46.4,"September 17, 21",-0.0194
1101.TW,2021-09-16,46.55,47,46.18,47,45.140602,25839927,25839927,0.45,0.9667,46.73,"September 16, 21",0.009667
1101.TW,2021-09-15,46.73,47.09,46.28,46.55,44.704041,25000502,25000502,-0.18,-0.38519,46.64,"September 15, 21",-0.0038519
1101.TW,2021-09-14,46.46,47.28,46.09,46.73,44.878666,57585584,57585584,0.27,0.58115,46.7,"September 14, 21",0.0058115
1101.TW,2021-09-13,44.55,45.64,44.55,45.55,43.743603,29386144,29386144,1,2.24,45.25,"September 13, 21",0.0224
1101.TW,2021-09-10,43.82,44.55,43.68,44.55,42.783165,17499396,17499396,0.73,1.67,44.26,"September 10, 21",0.0167
1101.TW,2021-09-09,43.64,43.82,43.46,43.82,42.084663,11783586,11783586,0.18,0.41247,43.7,"September 09, 21",0.0041247
1101.TW,2021-09-08,44.28,44.5,43.82,44.14,42.390255,13526575,13526575,-0.14,-0.31617,44.15,"September 08, 21",-0.0031617
1101.TW,2021-09-07,44.37,44.55,44.14,44.32,42.56488,9048687,9048687,-0.05,-0.11269,44.34,"September 07, 21",-0.0011269
1101.TW,2021-09-06,44.09,44.64,43.78,44.37,42.608536,14302763,14302763,0.28,0.63506,44.26,"September 06, 21",0.0063506
1101.TW,2021-09-03,43.55,44.14,43.5,44.09,42.3466,13234550,13234550,0.54,1.24,43.91,"September 03, 21",0.0124
1101.TW,2021-09-02,44,44,43.37,43.55,41.822723,8637424,8637424,-0.45,-1.02,43.64,"September 02, 21",-0.0102
1101.TW,2021-09-01,43.96,44,43.5,44,42.259285,16269235,16269235,0.04,0.09099181,43.84,"September 01, 21",0.0009099181
1101.TW,2021-08-31,43.28,44.05,42.96,44.05,42.302948,20166018,20166018,0.77,1.78,43.68,"August 31, 21",0.0178
1101.TW,2021-08-30,43.14,43.28,42.87,43.28,41.560791,10065986,10065986,0.14,0.32452,43.14,"August 30, 21",0.0032452
1101.TW,2021-08-27,42.68,43.18,42.5,43.14,41.429821,10256833,10256833,0.46,1.08,42.94,"August 27, 21",0.0108
1101.TW,2021-08-26,42.91,43,42.37,42.68,40.993256,14354153,14354153,-0.23,-0.53601,42.68,"August 26, 21",-0.0053601
1101.TW,2021-08-25,42.55,42.96,42.32,42.91,41.211536,9503303,9503303,0.36,0.84606,42.73,"August 25, 21",0.0084606
1101.TW,2021-08-24,42.73,42.82,42.23,42.5,40.818634,12004915,12004915,-0.23,-0.53826,42.52,"August 24, 21",-0.0053826
1101.TW,2021-08-23,42.46,42.96,42.32,42.55,40.862286,11465302,11465302,0.09,0.21196,42.61,"August 23, 21",0.0021196
1101.TW,2021-08-20,41.73,42.5,41.55,41.96,40.294754,21003672,21003672,0.23,0.55116,42,"August 20, 21",0.0055116
1101.TW,2021-08-19,42.96,42.96,41.82,42,40.338413,28382327,28382327,-0.96,-2.23,42.26,"August 19, 21",-0.0223
1101.TW,2021-08-18,42.64,43,42.18,42.96,41.255196,27554796,27554796,0.32,0.75047,42.71,"August 18, 21",0.0075047
1101.TW,2021-08-17,43.59,43.59,43.59,43.59,41.866386,0,0,0,0,43.59,"August 17, 21",0
1101.TW,2021-08-16,44,44.05,43.37,43.59,41.866386,29155120,29155120,-0.41,-0.93182,43.67,"August 16, 21",-0.0093182
